Facility_ID,Street_No,Street_Name,Street_Type,Street_Direction,Postal_Code,Prov_Terr,City,Facility_Type_ID
302,-1,bloor,st,,M9C 2H4,ON,Toronto,FT1
303,-1,,,,,ON,Waterloo,FT1
304,-1,,,,,ON,Waterloo,FT1
305,-1,,,,,ON,Brampton,FT1
306,-1,,,,,ON,Brampton,FT1
307,16,bluehaven,cres,,M9C 2Y2,ON,Toronto,FT1
308,-1,,,,,ON,Waterloo,FT1
309,-1,,,,,ON,Waterloo,FT1
310,-1,,,,,ON,Waterloo,FT7
311,33987,sararas,road,,N0M 2T0,ON,Bluewater,FT9
312,1,brimley,rd,s,,ON,Toronto,FT9
313,377,gypsy,ln,,N0G 2W0,ON,North Huron,FT4
314,193,wellington,street,,N0M 1H0,ON,North Huron,FT2
315,-1,,,,,ON,North Huron,FT11
316,485,montrose,ave,,M6G 3H2,ON,Toronto,FT5
317,1490,youville,drive,,,ON,Ottawa,FT13
318,-1,steeles,ave,e,,ON,Brampton,FT1
319,33818,bogie,road,,N7A 3Y2,ON,Ashfield-Colborne-Wawanosh,FT9
320,2,george,st,,,ON,Woolwich,FT6
321,-1,,,,,ON,Waterloo,FT1
322,-1,,,,,ON,Waterloo,FT7
323,4941,maple,avenue,,L0R 1B6,ON,Lincoln,FT10
324,-1,,,,,ON,Waterloo,FT1
325,-1,,,,,ON,Waterloo,FT1
326,-1,,,,,ON,Brampton,FT1
327,45,twistleton,st,,,ON,Caledon,FT1
328,-1,,,,,ON,Waterloo,FT1
329,-1,,,,,ON,Brampton,FT1
330,277,orton park,rd,,M1G 3T4,ON,Toronto,FT1
331,-1,,,,,ON,Brampton,FT1
332,1780,bough beeches,blvd,,,ON,Mississauga,FT1
333,-1,,,,,ON,Fort Erie,FT1
334,-1,,,,,ON,Markham,FT3
335,7651,ninth,,,,ON,Markham,FT3
336,530,charlotte,st,,,ON,London,FT3
337,155,falstaff,ave,,M6L 2E5,ON,Toronto,FT2
338,-1,,,,,ON,Brampton,FT1
339,15,bramber woods,rd,,M1C 1N3,ON,Toronto,FT1
340,-1,vanderbrink,dr,,,ON,Brampton,FT1
341,3545,brandon gate,dr,,,ON,Mississauga,FT1
342,-1,,,,,ON,Brantford,FT3
343,2255,brant,st,,,ON,Burlington,FT3
344,221,allan,st,,,ON,Oakville,FT1
345,350,margaret,ave,,,ON,Kitchener,FT3
346,350,margaret,ave,,,ON,Kitchener,FT1
347,806,union,st,,,ON,Kitchener,FT1
348,806,union,st,,,ON,Kitchener,FT6
349,350,margaret,ave,,,ON,Kitchener,FT2
350,-1,,,,,ON,Brantford,FT1
351,496,karen park,cres,,L5A 3C6,ON,Mississauga,FT1
352,151,brewer,ave,,K1S 2Z5,ON,Ottawa,FT4
353,-1,,,,,ON,Ottawa,FT2
354,-1,,,,,ON,Ottawa,FT2
355,100,brewer,way,,K1S 2Z5,ON,Ottawa,FT2
356,-1,,,,,ON,Ottawa,FT4
357,3061,clayhill,rd,,,ON,Mississauga,FT1
358,3061,clayhill,rd,,,ON,Mississauga,FT6
359,-1,mclaughlin,rd,s,,ON,Brampton,FT1
360,20,tyson,dr,,,ON,Kitchener,FT1
361,8,bridge,st,e,,ON,Kitchener,FT1
362,20,tyson,dr,,,ON,Kitchener,FT3
363,59,bridge,st,w,,ON,Kitchener,FT1
364,-1,,,,,ON,Brantford,FT1
365,2295,bridletown,cir,,M1W 2L3,ON,Toronto,FT1
366,445,huntingwood,dr,,M1W 1G3,ON,Toronto,FT1
367,445,huntingwood,dr,,M1W 1G3,ON,Toronto,FT6
368,65,stonehaven,drive,,,ON,Ottawa,FT13
369,-1,,,,,ON,Brantford,FT1
370,415,caryndale,dr,,,ON,Kitchener,FT1
371,-1,,,,,ON,Ottawa,FT9
372,-1,,,,,ON,Waterloo,FT1
373,-1,,,,,ON,Brampton,FT1
374,2755,brimley,rd,,M1V 1K2,ON,Toronto,FT1
375,1145,swinbourne,dr,,L5V 1C2,ON,Mississauga,FT1
376,102,greenview,road,,,ON,Ottawa,FT9
377,115,wareside,rd,,M9C 3B7,ON,Toronto,FT1
378,19,castlegrove,blvd,,M3A 1K9,ON,Toronto,FT2
379,19,castlegrove,blvd,,,ON,Toronto,FT7
380,19,castlegrove,blvd,,M3A 2L3,ON,Toronto,FT1
381,19,castlegrove,blvd,,M3A 2L3,ON,Toronto,FT6
382,2299,bromsgrove,rd,,,ON,Mississauga,FT1
383,45,river,st,west,L6L 6N9,ON,Oakville,FT9
384,2340,ontario,st,,,ON,Oakville,FT1
385,2184,hixon,st,,,ON,Oakville,FT2
386,-1,,,,,ON,Brampton,FT1
387,1215,bridge,rd,,,ON,Oakville,FT2
388,1195,bridge,rd,,,ON,Oakville,FT1
389,45,cassels,rd,e,L0B 1C0,ON,Whitby,FT3
390,-1,,,,,ON,Brantford,FT1
391,2254,council ring,rd,,L5L 1B7,ON,Mississauga,FT1
392,85,keeler,blvd,,M1E 4K6,ON,Toronto,FT1
393,990,rymal,road,east,,ON,Hamilton,FT6
394,454,454,avenue,,M4V 2J1,ON,Toronto,FT5
395,454,454,avenue,,M4V 2J1,ON,Toronto,FT2
396,1600,bristol,rd,w,,ON,Mississauga,FT1
397,2226,golf course,rd,,,ON,Clarington,FT3
398,65,brubacher,st,,,ON,Kitchener,FT1
399,-1,bruce beer,rd,n,,ON,Brampton,FT1
400,2173,springbank,rd,,L5H 3N5,ON,Mississauga,FT1
401,55,head,st,,L9H 3H8,ON,Hamilton,FT11
402,800,sports,drive,,N0G 1H0,ON,Huron East,FT4
403,1755,lake shore,blvd,w,M6S 5A3,ON,Toronto,FT1
404,1755,lake shore,blvd,w,M6S 5A3,ON,Toronto,FT2
405,4475,erie,road,,,ON,Fort Erie,FT12
406,917,point abino,road,,,ON,Fort Erie,FT12
407,-1,brisdale,dr,,,ON,Brampton,FT1
408,5065,benson,dr,,L7L 5N7,ON,Burlington,FT3
409,5151,new,st,,,ON,Burlington,FT2
410,2285,new,st,,,ON,Burlington,FT3
411,952,century,dr,,L7L 5P2,ON,Burlington,FT3
412,76,burnet,street,,,ON,Oakville,FT1
413,3316,cardross,rd,,L4X 2N2,ON,Mississauga,FT1
414,1500,gulleden,dr,,L4X 2T7,ON,Mississauga,FT3
415,1500,gulleden,dr,,L4X 2T7,ON,Mississauga,FT4
416,-1,,,,,ON,Brantford,FT1
417,-1,burnt elm,dr,,,ON,Brampton,FT1
418,239,burrows hall,blvd,,M1B 1N1,ON,Toronto,FT1
419,-1,burton,rd,w,,ON,Brampton,FT1
420,-1,,,,,ON,Waterloo,FT1
421,7457,russian,,,,ON,Mississauga,FT1
422,30,mulham,pl,,M9A 4W1,ON,Toronto,FT1
423,30,mulham,pl,,M9A 4W1,ON,Toronto,FT7
424,30,mulham,pl,,,ON,Toronto,FT7
425,1306,norman,ave,,,ON,London,FT3
426,-1,,,,,ON,Brampton,FT1
427,18355,kennedy,rd,,L7K 1V7,ON,Caledon,FT2
428,14111,50,hwy,,L7E 2V2,ON,Caledon,FT2
429,14111,50,hwy,,L7E 2V2,ON,Caledon,FT3
430,6215,old church,rd,,L0N 1E0,ON,Caledon,FT3
431,6215,old church,rd,,L7C 1J7,ON,Caledon,FT4
432,15738,airport,rd,,L7C 2W8,ON,Caledon,FT1
433,6097,old church,road,,L7C 1J6,ON,Caledon,FT1
434,18313,hurontario,st,,L0N 1C0,ON,Caledon,FT3
435,-1,,,,,ON,Greater Sudbury / Grand Sudbury,FT4
436,200,jamieson,pky,,,ON,Cambridge,FT2
437,495,camden,cir,,,ON,Mississauga,FT1
438,-1,,,,,ON,Brampton,FT1
439,3267,king,st,e,,ON,Kitchener,FT2
440,-1,,,,,ON,Brantford,FT1
441,301,charles,st,e,,ON,Kitchener,FT2
442,2180,camilla,rd,,L5A 2J6,ON,Mississauga,FT1
443,2130,river,rd,west,,ON,North Dumfries,FT2
444,1711,simcoe,st,n,,ON,Oshawa,FT2
445,1985,beke,rd,,,ON,North Dumfries,FT2
446,1985,beke,rd,,,ON,Waterloo,FT6
447,-1,,,,,ON,Greater Sudbury / Grand Sudbury,FT9
448,255,campbell,ave,,M1P 4N7,ON,Toronto,FT1
449,255,campbell,ave,,M1P 4N7,ON,Toronto,FT2
450,255,campbell,ave,,M1P 4N7,ON,Toronto,FT7
451,225,campbell,ave,,,ON,Toronto,FT7
452,1045,wonderland,rd,n,,ON,London,FT3
453,50,confederation,dr,,,ON,Kitchener,FT1
454,140,hawthorn,rd,,,ON,Oakville,FT1
455,-1,,,,,ON,Waterloo,FT1
456,91,elliot,st,,L0E 1E0,ON,Brock,FT3
457,2295,canonridge,circle,,,ON,Oakville,FT1
458,-1,,,,,ON,Ottawa,FT2
459,-1,,,,,ON,Ottawa,FT4
460,-1,,,,,ON,Brampton,FT1
461,4149,canyon walk,dr,,,ON,Ottawa,FT7
462,-1,,,,,ON,Georgian Bluffs,FT9
463,10,overlea,dr,,,ON,Kitchener,FT2
464,-1,,,,,ON,Greater Sudbury / Grand Sudbury,FT4
465,20,meehan,street,,,ON,Greater Sudbury / Grand Sudbury,FT3
466,-1,,,,,ON,Greater Sudbury / Grand Sudbury,FT9
467,2145,grand oak,trail,,,ON,Oakville,FT1
468,-1,eagleridge,dr,,,ON,Brampton,FT1
469,99,caribou,rd,,M3M 4N4,ON,Toronto,FT1
470,-1,,,,,ON,Brampton,FT1
471,656,elizabeth,street,,,ON,London,FT3
472,1520,caldwell,ave,,K1Z 5L6,ON,Ottawa,FT3
473,1496,centre,road,,,ON,Hamilton,FT4
474,-1,,,,,ON,Hamilton,FT3
475,-1,,,,,ON,Hamilton,FT3
476,20,edith,ave,,M6P 3T5,ON,Toronto,FT1
477,20,edith,ave,,M6P 3T5,ON,Toronto,FT2
478,-1,,,,,ON,Hamilton,FT3
479,580,pioneer,dr,,,ON,Kitchener,FT1
480,1399,cawthra,,,,ON,Mississauga,FT4
481,-1,,,,,ON,Greater Sudbury / Grand Sudbury,FT4
482,1298,bancroft,drive,,,ON,Greater Sudbury / Grand Sudbury,FT3
483,-1,,,,,ON,Greater Sudbury / Grand Sudbury,FT7
484,3100,weston,road,,M9M 2S7,ON,Toronto,FT5
485,2299,carol,rd,,,ON,Oakville,FT1
